date,passengers
2015-04-19,132392.0
2015-04-20,230239.0
2015-04-21,234790.0
2015-04-22,238844.0
2015-04-23,251639.0
2015-04-24,276301.0
2015-04-25,189931.0
2015-04-26,138433.0
2015-04-27,235402.0
2015-04-28,239659.0
2015-04-29,246202.0
2015-04-30,297878.0
2015-05-01,171347.0
2015-05-02,197696.0
2015-05-03,144916.0
2015-05-04,255616.0
2015-05-05,254754.0
2015-05-06,248598.0
2015-05-07,268236.0
2015-05-08,285536.0
2015-05-09,189335.0
2015-05-10,142951.0
2015-05-11,243004.0
2015-05-12,263074.0
2015-05-13,293706.0
2015-05-14,142618.0
2015-05-15,218267.0
2015-05-16,168867.0
2015-05-17,132798.0
2015-05-18,254292.0
2015-05-19,260574.0
2015-05-20,254095.0
2015-05-21,259728.0
2015-05-22,283762.0
2015-05-23,190699.0
2015-05-24,157230.0
2015-05-25,114868.0
2015-05-26,250678.0
2015-05-27,252379.0
2015-05-28,267748.0
2015-05-29,307440.0
2015-05-30,200036.0
2015-05-31,144402.0
2015-06-01,253168.0
2015-06-02,272844.0
2015-06-03,279746.0
2015-06-04,313623.0
2015-06-05,209272.0
2015-06-06,199497.0
2015-06-07,149526.0
2015-06-08,248337.0
2015-06-09,252832.0
2015-06-10,251651.0
2015-06-11,261860.0
2015-06-12,288203.0
2015-06-13,197256.0
2015-06-14,148940.0
2015-06-15,250442.0
2015-06-16,254524.0
2015-06-17,271717.0
2015-06-18,280079.0
2015-06-19,307084.0
2015-06-20,206943.0
2015-06-21,144731.0
2015-06-22,278891.0
2015-06-23,278205.0
2015-06-24,271643.0
2015-06-25,277181.0
2015-06-26,288478.0
2015-06-27,183869.0
2015-06-28,132897.0
2015-06-29,225239.0
2015-06-30,241598.0
2015-07-01,248106.0
2015-07-02,243980.0
2015-07-03,248585.0
2015-07-04,185395.0
2015-07-05,151603.0
2015-07-06,229954.0
2015-07-07,234721.0
2015-07-08,235449.0
2015-07-09,234179.0
2015-07-10,252045.0
2015-07-11,184220.0
2015-07-12,129782.0
2015-07-13,197152.0
2015-07-14,200998.0
2015-07-15,206996.0
2015-07-16,210021.0
2015-07-17,211422.0
2015-07-18,170348.0
2015-07-19,130906.0
2015-07-20,190774.0
2015-07-21,200542.0
2015-07-22,198904.0
2015-07-23,199538.0
2015-07-24,217845.0
2015-07-25,155562.0
2015-07-26,145033.0
2015-07-27,202996.0
2015-07-28,207919.0
2015-07-29,213945.0
2015-07-30,220029.0
2015-07-31,255548.0
2015-08-01,216342.0
2015-08-02,168458.0
2015-08-03,249317.0
2015-08-04,245647.0
2015-08-05,251982.0
2015-08-06,260076.0
2015-08-07,265582.0
2015-08-08,205443.0
2015-08-09,164943.0
2015-08-10,259647.0
2015-08-11,292313.0
2015-08-12,277569.0
2015-08-13,286691.0
2015-08-14,328243.0
2015-08-15,221572.0
2015-08-16,152861.0
2015-08-17,274696.0
2015-08-18,283001.0
2015-08-19,280637.0
2015-08-20,286328.0
2015-08-21,320620.0
2015-08-22,229211.0
2015-08-23,189418.0
2015-08-24,285052.0
2015-08-25,306595.0
2015-08-26,294804.0
2015-08-27,314685.0
2015-08-28,337893.0
2015-08-29,237568.0
2015-08-30,164167.0
2015-08-31,298614.0
2015-09-01,302245.0
2015-09-02,300116.0
2015-09-03,310698.0
2015-09-04,354532.0
2015-09-05,228818.0
2015-09-06,166495.0
2015-09-07,282681.0
2015-09-08,290699.0
2015-09-09,292715.0
2015-09-10,298486.0
2015-09-11,327555.0
2015-09-12,233365.0
2015-09-13,171434.0
2015-09-14,285988.0
2015-09-15,294563.0
2015-09-16,297400.0
2015-09-17,304117.0
2015-09-18,337583.0
2015-09-19,225256.0
2015-09-20,170228.0
2015-09-21,279465.0
2015-09-22,296006.0
2015-09-23,296131.0
2015-09-24,304505.0
2015-09-25,329056.0
2015-09-26,223816.0
2015-09-27,166072.0
2015-09-28,272864.0
2015-09-29,284420.0
2015-09-30,303437.0
2015-10-01,312918.0
2015-10-02,345716.0
2015-10-03,234366.0
2015-10-04,170577.0
2015-10-05,284981.0
2015-10-06,311398.0
2015-10-07,325924.0
2015-10-08,331402.0
2015-10-09,346041.0
2015-10-10,223402.0
2015-10-11,167287.0
2015-10-12,255490.0
2015-10-13,268491.0
2015-10-14,270752.0
2015-10-15,273779.0
2015-10-16,277954.0
2015-10-17,214089.0
2015-10-18,161694.0
2015-10-19,283123.0
2015-10-20,295937.0
2015-10-21,299751.0
2015-10-22,319125.0
2015-10-23,350163.0
2015-10-24,223636.0
2015-10-25,166540.0
2015-10-26,286788.0
2015-10-27,300689.0
2015-10-28,308267.0
2015-10-29,323060.0
2015-10-30,367639.0
2015-10-31,254784.0
2015-11-01,184585.0
2015-11-02,294288.0
2015-11-03,311738.0
2015-11-04,309259.0
2015-11-05,333854.0
2015-11-06,378818.0
2015-11-07,248273.0
2015-11-08,176900.0
2015-11-09,295081.0
2015-11-10,319670.0
2015-11-11,322311.0
2015-11-12,325089.0
2015-11-13,357133.0
